id,decision_summary,cluster,historical_intent,historical_status,original_problem,assumptions,observed_state,current_evidence,existing_coverage,first_pass_observation,inference,recommendation,disposition,target_artifact,confidence,kayden_required,decision_status,source_ids,source_files,first_pass_disposition,first_pass_target
R089,Evaluated model and reviewer model are independent fields,"Evidence, review & evaluation",Record whose behavior is evaluated separately from who reviewed the evidence. A static inspection may have no evaluated model.,Accepted,A report written by Claude does not prove Claude operates well under the harness.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,AU-0002,VERIFIED GAP: REPORT_FORMAT requires target revision and skill-copy provenance but never requires naming the evaluated model separately from the reporting model.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Name evaluated model separately from reporting model; allow not-applicable for structural inspections. This is a proposed report-contract correction, not an already delivered field.",KEEP - CONTRACT,workbench/feedback/REPORT_FORMAT.md,High,False,Accepted (historical source status),AU-0002,evidence/au-0002.md,KEEP - CONTRACT,REPORT_FORMAT.md + CAND-D
R090,One finding can have many observations and occurrences,"Evidence, review & evaluation","Keep one durable problem identity across reports, with repeated observations and separate affected-project occurrences. Absence from a later report means not retested, not resolved.",Accepted,Counting reports inflated problem totals and lost recurrence.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,AU-0003,REPORT_FORMAT already scopes finding IDs to the report and requires an explicit shared recurrence key.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Current report keys cover disambiguation, not the whole longitudinal lifecycle. Preserve not-retested versus resolved and leave the central finding store with Audit.",KEEP - DOC,workbench/feedback/REPORT_FORMAT.md; Audit owner,High,False,Accepted (historical source status),AU-0003,evidence/au-0003.md,ALREADY COVERED,REPORT_FORMAT.md
R091,Execution failures are not automatically harness defects,"Evidence, review & evaluation","Keep unavailable runners, missing evidence, interrupted attempts and incomplete coverage visible as execution/evidence states.",Accepted,A failed measurement is not evidence of a failed harness behavior.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,AU-0004,REPORT_FORMAT has an Evidence And Limitations section but no named execution/evidence failure states.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","The current format already distinguishes observed behavior, inference and hypotheses. Add explicit unavailable/interrupted/missing-evidence examples; do not claim no evidence taxonomy exists.",KEEP - CONTRACT,workbench/feedback/REPORT_FORMAT.md,MediumHigh,False,Accepted (historical source status),AU-0004; AU-0001,evidence/au-0004.md; evidence/au-0001.md,KEEP - CONTRACT,REPORT_FORMAT.md + CAND-D
R092,Investigate a finding before repairing it,"Evidence, review & evaluation","Re-read the claimed mechanism at an identified source revision; distinguish confirmed, unsupported, environmental and deferred findings before proposing or applying a fix.",Accepted,Upstream repairs based on unsupported reports can introduce new defects and erase useful dissent.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,WB-0037 WB-0038,"'Challenged Or Rejected Findings' section requires exactly this, including retaining dissent.",The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. 'Challenged Or Rejected Findings' section requires exactly this, including retaining dissent.",ALREADY COVERED,REPORT_FORMAT.md,High,False,Accepted (historical source status),G-6a9c9513; A-BLUEPRINT,evidence/g-6a9c9513.md; evidence/a-blueprint.md,ALREADY COVERED,REPORT_FORMAT.md
R093,Audit Workbench owns independent review history and visualization,"Evidence, review & evaluation","Use a separate review application to retain results across projects, harness versions and models, with a visual interface and drill-down evidence.",Accepted,The owner did not want to read long Markdown report stacks or have every project manage its own improvement program.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,AU-0006,Audit_Workbench S-001 harness-review-ledger and S-003 decision-first-website own it.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. Audit_Workbench S-001 harness-review-ledger and S-003 decision-first-website own it.",OUT OF SCOPE,Audit_Workbench,High,False,Accepted (historical source status),G-6a9b96e1; G-6a9c9513; AU-0006,evidence/g-6a9b96e1.md; evidence/g-6a9c9513.md; evidence/au-0006.md,OUT OF SCOPE,Audit_Workbench
R094,Central review storage with a standalone fallback,"Evidence, review & evaluation",An enrolled project receives an explicit central evidence destination; a standalone Workbench retains local reporting. Central private storage still needs an explicit recovery policy.,Accepted,"Scattered reports made comparisons difficult, but requiring the central app would break portability.",Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,AU-0006,Audit_Workbench S-005 release-campaigns; upstream keeps the destination-optional wording already in REPORT_FORMAT.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. Audit_Workbench S-005 release-campaigns; upstream keeps the destination-optional wording already in REPORT_FORMAT.",OUT OF SCOPE,Audit_Workbench,MediumHigh,False,Accepted (historical source status),AU-0006,evidence/au-0006.md,OUT OF SCOPE,Audit_Workbench
R095,The reviewer must itself be reviewed independently,"Evidence, review & evaluation","Audit Workbench is part of the portfolio, with independent review of its consequential outputs and self-review exclusions.",Accepted,Its own missing integration destination escaped an audit sweep that excluded the reviewer.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,-,VERIFIED: Audit_Workbench S-008-self-enrolment-and-reviewer-independence already owns this.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Audit self-review exclusion remains an Audit application concern. Do not add recursive reviewer-of-reviewer gates to every base action.,OUT OF SCOPE,Audit_Workbench,High,False,Accepted (historical source status),A-BLUEPRINT,evidence/a-blueprint.md,OUT OF SCOPE,Audit_Workbench
R096,"Separate source development, deployment and audit roles across rooms","Evidence, review & evaluation",LLM_Workbench develops the template; GPT_OS coordinates deployment in the described workflow; Audit_Workbench consolidates and challenges feedback. Reports flow back upstream without the audit room silently repairing targets.,Accepted,The owner explicitly corrected a workflow that treated LLM_Workbench as the deployer and conflated review with mutation.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,-,"Three rooms verified present (LLM_Workbench, GPT_OS, Audit_Workbench); ADR-0026 names only source-vs-extension, not the deployer/auditor roles.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. Three rooms verified present (LLM_Workbench, GPT_OS, Audit_Workbench); ADR-0026 names only source-vs-extension, not the deployer/auditor roles.",MERGE WITH ADR-0026,ADR-0026 amendment,MediumHigh,False,Accepted (historical source status),G-6a9c9513; A-BLUEPRINT,evidence/g-6a9c9513.md; evidence/a-blueprint.md,MERGE WITH ADR-0026,ADR-0026 amendment
R097,Review each adopted release and preserve longitudinal comparisons,"Evidence, review & evaluation","Track reviews by actual installed release, project and model, retaining previous observations and making progress or recurrence visible.",Accepted,One-time reviews cannot tell whether a release helped or merely changed the report.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,AU-0004,Campaign scheduling is Audit S-005; the portable identity half is folded into CAND-D.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. Campaign scheduling is Audit S-005; the portable identity half is folded into CAND-D.",OUT OF SCOPE,Audit_Workbench,Medium,False,Accepted (historical source status),G-6a9b96e1; AU-0004,evidence/g-6a9b96e1.md; evidence/au-0004.md,OUT OF SCOPE,Audit_Workbench
R098,Measure owner coordination work as harness friction,"Evidence, review & evaluation","Treat repeated owner reminders to save, route, reconcile, resume or finish as observable workflow friction, while separating them from legitimate architectural decisions.",Strong preference,The harness is supposed to carry the conversation and process so the owner does not become its manual scheduler.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,-,VERIFIED: S-049 is complete; the /carry skill records each occurrence where the owner still had to supply routine coordination.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. VERIFIED: S-049 is complete; the /carry skill records each occurrence where the owner still had to supply routine coordination.",ALREADY COVERED,S-049,High,False,Strong preference (historical source status),G-6a9cff88; A-BLUEPRINT,evidence/g-6a9cff88.md; evidence/a-blueprint.md,ALREADY COVERED,S-049
R099,Preserve visibility and epistemic states rather than filling gaps,"Evidence, review & evaluation","Distinguish fresh, stale, unavailable, malformed, inaccessible and user-reported evidence; distinguish a capability being available, eligible, shown, consulted and acted through.",Accepted,Declared availability and actual use were repeatedly mistaken for one another.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,-,Diagnostics already model stale/unknown states; the shared evidence vocabulary is unwritten.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Put evaluated/reviewer model fields and evidence states in the report contract. Retain the evidence rationale under C; do not import the Audit application or a mandatory central findings service.,KEEP - CONTRACT,workbench/feedback/REPORT_FORMAT.md,Medium,False,Accepted (historical source status),C-019f7df4-L9; A-BLUEPRINT,evidence/c-019f7df4-l9.md; evidence/a-blueprint.md,MERGE WITH CAND-D,CAND-D
R100,Do not weaken criteria to make self-improvement look successful,"Evidence, review & evaluation",Retain the baseline and grading standard when judging a change. Improvements require evidence; an easier rubric or a current 100 score does not establish the harness is finished.,Accepted,The owner wanted a system capable of detecting regressions and still raising its standards.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,-,AGENTS forbids weakening criteria to raise a score; the baseline-retention rationale has no ADR.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Preserve held-out comparisons, honest incompleteness and baseline integrity. This is a durable alternative to optimizing a structural self-score.",MERGE WITH ADR-PROPOSED-C,CAND-C,High,False,Accepted (historical source status),H-SC; C-019f4b37-L9; C-019ef347-L6,evidence/h-sc.md; evidence/c-019f4b37-l9.md; evidence/c-019ef347-l6.md,MERGE WITH CAND-C,CAND-C
R101,Feedback repair loops are bounded and independently reviewed,"Evidence, review & evaluation","A scheduled builder proposes a bounded candidate, an independent reviewer challenges it, and iteration has explicit budget, identity and stop conditions.",Accepted historical direction,"Unbounded self-improvement loops spend tokens, repeat findings and merge unverified changes.",Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,-,Optional automation; AGENTS already forbids the base from starting one.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. Optional automation; AGENTS already forbids the base from starting one.",OUT OF SCOPE,Audit_Workbench,Medium,False,Accepted historical direction (historical source status),C-019f5a56-L9; C-019f5a56-L215,evidence/c-019f5a56-l9.md; evidence/c-019f5a56-l215.md,OUT OF SCOPE,Audit_Workbench
R102,Setup proof precedes the feedback workflow,"Evidence, review & evaluation","The initial fresh-agent setup check returns in chat; prove entry first, then reporting and continuation. Do not require an artificial report or handoff to establish that setup works.",Accepted,The first experiment's outcome was repeatedly replaced by ceremony it was not testing.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,WB-0038,"ADR-0038 accepted, canonicalized in RUNBOOK/BLUEPRINT/S-027.",The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0038 accepted, canonicalized in RUNBOOK/BLUEPRINT/S-027.",ALREADY COVERED,ADR-0038,High,False,Accepted (historical source status),WB-0038; B-BOUNDARIES,evidence/wb-0038.md; evidence/b-boundaries.md,ALREADY COVERED,ADR-0038
R103,Prefer real useful acceptance work over artificial workflow evidence,"Evidence, review & evaluation",Exercise the system on genuine small tasks. Do not redo completed work or create fake Job Orders solely to inflate a validation count.,Accepted,Synthetic paperwork can prove the workflow's forms without proving useful delivery.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,WB-0038,ADR-0038 rejects artificial pilots; the positive rule belongs with the evaluation contract.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Preserve held-out comparisons, honest incompleteness and baseline integrity. This is a durable alternative to optimizing a structural self-score.",MERGE WITH ADR-PROPOSED-C,CAND-C,High,False,Accepted (historical source status),D-CIC; WB-0038,evidence/d-cic.md; evidence/wb-0038.md,MERGE WITH CAND-C,CAND-C
R104,Reuse the existing behavioral evaluation runner before building another,"Evidence, review & evaluation",Assess the existing harness eval runner for isolated trials and JSONL results before introducing a second runner.,Proposed,Duplicated runners would duplicate grading logic and split evidence contracts.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,AU-0005,AU-0005 is still 'Proposed' downstream; upstream evals/run.py already exists.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. AU-0005 is still 'Proposed' downstream; upstream evals/run.py already exists.",OUT OF SCOPE,Audit_Workbench,High,False,Proposed (historical source status),AU-0005,evidence/au-0005.md,OUT OF SCOPE,Audit_Workbench
R105,Report permission fidelity across prose and provider controls,"Evidence, review & evaluation","A declared writable lane must agree with effective provider permissions and supported relative, home and absolute path forms. S-036 corrected the earlier paired Edit/Write model; the invariant is capability fidelity, not that old permission syntax.",Accepted,The contract instructed agents to create records while the installed permission file withheld the operation.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,AU-0007 WB-0005,S-034 control-fidelity-report and S-036 both complete; no ADR carries the capability-fidelity invariant.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Preserve fixed wording when filling placeholders and expose changed/dropped rules. Divergence remains legitimate when deliberately decided; fidelity stays a report, not a universal blocker.",KEEP - ADR,CAND-K,High,False,Accepted (historical source status),AU-0007; S-036,evidence/au-0007.md; evidence/s-036.md,KEEP - ADR,CAND-K
R106,One durable writer per shared surface,Coordination & concurrency,"Independent read-only work may proceed in parallel; writes to a repository, spec, registry, installed product or shared file need non-overlapping ownership or serialization.",Accepted,Parallel agents can collide even when their chat tasks have different names.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,-,AGENTS has a one-line rule ('one single durable writer for shared spec/Taskboard state') with no rationale or general scope.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"S-020 records repository/spec/shared-file write ownership, broader than the first pass acknowledged. Application to session sync belongs to N; no new universal lock service.",ALREADY COVERED,AGENTS.md; S-020,MediumHigh,False,Accepted (historical source status),D-CANON; D-FLIGHT; D-CAS,evidence/d-canon.md; evidence/d-flight.md; evidence/d-cas.md,KEEP - ADR,CAND-M
R107,A durable task is distinct from a worker or attempt,Coordination & concurrency,One Job Order represents a durable task/lane. Different agents and roles can take successive exclusive runs; a failed attempt is not automatically a new task.,Accepted,Per-person records lost continuity while shared simultaneous orders blurred write ownership.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,-,Job Order / Claim / Run schemas are Foundry-owned; GO-0021 removed the base requirement.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",ADR-0015/0026 already establish the base boundary. Preserve all historical records and corrections here; do not create an upstream archive Design Concept merely to park abandoned mechanisms.,OUT OF SCOPE,Historical packet; original extension owner,High,False,Accepted (historical source status),H-FR; D-CIC,evidence/h-fr.md; evidence/d-cic.md,MERGE WITH CAND-R,CAND-R
R108,Rejection and in-scope repair stay on the same task,Coordination & concurrency,Preserve rejection history and retry the existing task when its scope and acceptance still hold. New scope creates a new bounded task.,Accepted,Creating a fresh order on every rejection hid history and inflated work.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,-,Extension retry semantics; no upstream consumer.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",ADR-0015/0026 already establish the base boundary. Preserve all historical records and corrections here; do not create an upstream archive Design Concept merely to park abandoned mechanisms.,OUT OF SCOPE,Historical packet; original extension owner,High,False,Accepted (historical source status),D-CIC; D-CAS,evidence/d-cic.md; evidence/d-cas.md,MERGE WITH CAND-R,CAND-R
R109,Captain directs; Steward manages bounded execution,Coordination & concurrency,Keep an owner-facing coordinator's context focused on direction and exceptions. Dispatch fresh bounded execution contexts rather than making the coordinator carry every implementation step.,Accepted historical direction,The long-running manager chat became overloaded and stopped serving the owner.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,-,Captain/Steward are extension roles; ADR-0036 already rejects permanent role departments upstream.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",ADR-0015/0026 already establish the base boundary. Preserve all historical records and corrections here; do not create an upstream archive Design Concept merely to park abandoned mechanisms.,OUT OF SCOPE,Historical packet; original extension owner,High,False,Accepted historical direction (historical source status),D-CAS; C-01a055b0-L162,evidence/d-cas.md; evidence/c-01a055b0-l162.md,MERGE WITH CAND-R,CAND-R
R110,Parallel execution requires satisfied dependencies and disjoint ownership,Coordination & concurrency,Default to serialized dependent packages; parallelize only when predecessor gates and actual write surfaces permit it.,Accepted,"Nominally separate tasks still collided through registries, specs, runtime bindings and installed products.",Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,-,The disjoint-write-surface half is portable; the dependency-gate half is coordinator-owned.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,Disjoint ownership and dependency ordering already have current owners. Historical coordinator mechanics need no revival.,ALREADY COVERED,AGENTS.md; S-020,Medium,False,Accepted (historical source status),D-CAS; D-FLIGHT,evidence/d-cas.md; evidence/d-flight.md,MERGE WITH CAND-M,CAND-M
R111,"Keep implementation, review and mutation authority distinct",Coordination & concurrency,An implementation worker does not accept its own review or land itself by inference; a read-only verifier reports evidence while the authorized owner performs the state-changing transition.,Accepted,Role labels alone did not establish independent acceptance or a legitimate close mutation.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,WB-0037,ADR-0037 forbids self-review satisfying the gate; CAND-B carries the general separation.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,Self-review cannot satisfy the integration gate. An agent may integrate after separate-context approval within user authorization; do not revive owner-manual landing for every action.,ALREADY COVERED,ADR-0037; AGENTS.md,High,False,Accepted (historical source status),D-FLIGHT; D-POSTFLIGHT; D-CLOSE,evidence/d-flight.md; evidence/d-postflight.md; evidence/d-close.md,ALREADY COVERED,"ADR-0037, CAND-B"
R112,The seven Flight stages must form a real installed chain,Coordination & concurrency,"Intended contract: Sitrep, Preflight, Launch-flight, In-flight, Landing-check, Land and PostFlight-check are separately invokable stages with compatible handoffs and actual installed consumers. Pin exact SHAs at Preflight, Launch, Landing-check, Land and PostFlight-check, where a specific state is verified or acted on; ordinary Sitrep prose and In-flight internal work do not need an extra boundary-SHA field (AC-2).",Accepted historical direction,"Skill filenames, source tests and a guidebook did not establish an executable end-to-end workflow.",Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,-,Seven Flight stage skills exist only in the personal home; not a Workbench capability.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",ADR-0015/0026 already establish the base boundary. Preserve all historical records and corrections here; do not create an upstream archive Design Concept merely to park abandoned mechanisms.,OUT OF SCOPE,Historical packet; original extension owner,High,False,Accepted historical direction (historical source status),D-FLIGHT; D-POSTFLIGHT; D-CIC; D-AC,evidence/d-flight.md; evidence/d-postflight.md; evidence/d-cic.md; evidence/d-ac.md,MERGE WITH CAND-R,CAND-R
R113,"Handoffs preserve context and exact evidence, not authority",Coordination & concurrency,"Transfers identify the candidate, scope, state and evidence, reference their real owners and preserve ordered retry history without copying or enlarging authorization.",Accepted,A handoff was sometimes treated as a substitute for the contract or a fresh grant.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,WB-0040 GO-0012,Handoff-preserves-context-not-authority is the same rule CAND-A must state.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,Handoffs preserve context without transferring or enlarging authority. The contract already exists even though specialized tooling is incomplete.,ALREADY COVERED,ADR-0040; ADR-0027; S-046,High,False,Accepted (historical source status),D-FLIGHT; GO-0012,evidence/d-flight.md; evidence/go-0012.md,MERGE WITH CAND-A,CAND-A
R114,Preflight checks facts immediately before sensitive execution,Coordination & concurrency,Bind preflight to the relevant facts and reread race-sensitive state at launch. Receipt timestamps alone do not establish that its assumptions still hold.,Accepted,"A formerly green receipt can outlive a moved branch, changed scope or competing claim.",Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Current multi-agent rule and S-020 already cover disjoint writes and one durable writer across shared surfaces. No separate distributed execution guarantee is inferred.,AGENTS.md; workbench/specs/S-020-spec-native-team-coordination/SPEC.md; team templates/MANAGER.md,-,The portable half is 'reread race-sensitive state at the boundary'; Flight receipts stay extension-owned.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Exact candidate, actual destination containment and safe cleanup already have behavioral owners. Add rationale there and preserve remote uncertainty; do not create another generic completion gate.",MERGE WITH ADR-0037,ADR-0037; CAND-H,Medium,False,Accepted (historical source status),D-LIFEV2; D-CIC; H-SC,evidence/d-lifev2.md; evidence/d-cic.md; evidence/h-sc.md,MERGE WITH CAND-I,CAND-I
